name,dataset,n_neurons,activation,encoder_strategy,solver,solver_kwargs,metric_name,train_metric,test_metric,fit_time
Flat pixel 5k,cifar10,5000,abs,hypersphere,ridge,"{""alpha"": 0.01}",accuracy,0.6286199688911438,0.5013999938964844,1.36057448387146
PCA 32f p5 spp124 5k,cifar10,5000,abs,hypersphere,ridge,"{""alpha"": 0.01}",accuracy,0.7180399894714355,0.6272000074386597,1.3058209419250488
PCA 64f p5 spp124 5k,cifar10,5000,abs,hypersphere,ridge,"{""alpha"": 0.01}",accuracy,0.7242799997329712,0.6319999694824219,1.7558460235595703
PCA 64f p5 spp124 10k,cifar10,10000,abs,hypersphere,ridge,"{""alpha"": 0.01}",accuracy,0.797540009021759,0.6554999947547913,4.787498712539673
PCA 128f p5 spp124 10k,cifar10,10000,abs,hypersphere,ridge,"{""alpha"": 0.01}",accuracy,0.7985799908638,0.6577999591827393,5.232542514801025
PCA 256f p5 spp124 10k,cifar10,10000,abs,hypersphere,ridge,"{""alpha"": 0.005}",accuracy,0.8209599852561951,0.6525999903678894,5.3186421394348145
PCA 64f p3 spp124 10k,cifar10,10000,abs,hypersphere,ridge,"{""alpha"": 0.01}",accuracy,0.7577399611473083,0.6146999597549438,4.289877414703369
PCA 64f p7 spp124 10k,cifar10,10000,abs,hypersphere,ridge,"{""alpha"": 0.01}",accuracy,0.8124600052833557,0.6664999723434448,5.287755966186523
PCA 64f p5 spp124 10k +hflip,cifar10,10000,abs,hypersphere,ridge,"{""alpha"": 0.01}",accuracy,0.7462199926376343,0.6617000102996826,9.950704574584961
PCA 64f p5 spp124 5k ×5,cifar10,5000,abs,hypersphere,ridge,"{""alpha"": 0.01}",accuracy,0.7466399669647217,0.654699981212616,9.360639810562134
PCA 64f p5 spp124 10k ×5,cifar10,10000,abs,hypersphere,ridge,"{""alpha"": 0.01}",accuracy,0.8214799761772156,0.6780999898910522,30.021570920944214
PCA 64f p5 spp124 10k ×10,cifar10,10000,abs,hypersphere,ridge,"{""alpha"": 0.01}",accuracy,0.8273199796676636,0.6798999905586243,56.9354362487793
PCA 64f p5 spp124 10k ×5 +hflip,cifar10,10000,abs,hypersphere,ridge,"{""alpha"": 0.01}",accuracy,0.7659599781036377,0.6823999881744385,54.48300909996033
PCA 64f p5 spp124 10k +std,cifar10,10000,abs,hypersphere,ridge,"{""alpha"": 0.01}",accuracy,0.8456799983978271,0.6976999640464783,5.830180883407593
PCA 64f p5 spp124 10k +std +hflip,cifar10,10000,abs,hypersphere,ridge,"{""alpha"": 0.01}",accuracy,0.7977599501609802,0.7075999975204468,11.008563041687012
PCA 128f p5 spp124 10k +std,cifar10,10000,abs,hypersphere,ridge,"{""alpha"": 0.01}",accuracy,0.8427599668502808,0.6958999633789062,6.196662425994873
PCA 64f p5 spp124 10k ×5 +std +hflip,cifar10,10000,abs,hypersphere,ridge,"{""alpha"": 0.01}",accuracy,0.8179000020027161,0.7299999594688416,55.59182953834534
