name,dataset,n_neurons,activation,encoder_strategy,solver,solver_kwargs,metric_name,train_metric,test_metric,fit_time
NEFLayer,mnist,2000,abs,hypersphere,tikhonov,"{""alpha"": 0.01}",accuracy,0.9609166666666666,0.9552,0.2960938400001396
NEFLayer-whitened,mnist,2000,abs,whitened,tikhonov,"{""alpha"": 0.01}",accuracy,0.9656,0.9627,0.2766404349995355
NEFLayer-class_contrast,mnist,2000,abs,class_contrast,tikhonov,"{""alpha"": 0.01}",accuracy,0.8569833333333333,0.8637,0.26717717300016375
NEFLayer-local_pca,mnist,2000,abs,local_pca,tikhonov,"{""alpha"": 0.01}",accuracy,0.9695333333333334,0.9671,0.2222948490007184
NEFLayer-ddgain,mnist,2000,abs,hypersphere,tikhonov,"{""alpha"": 0.01}",accuracy,0.9612166666666667,0.9569,0.22766133599998284
NEFLayer-whitened-ddgain,mnist,2000,abs,whitened,tikhonov,"{""alpha"": 0.01}",accuracy,0.9657166666666667,0.9624,0.2545154970002841
NEFLayer-class_contrast-ddgain,mnist,2000,abs,class_contrast,tikhonov,"{""alpha"": 0.01}",accuracy,0.8557833333333333,0.8629,0.2720737259996895
NEFLayer,fashion_mnist,2000,abs,hypersphere,tikhonov,"{""alpha"": 0.01}",accuracy,0.88035,0.8575,0.22774045000005572
NEFLayer-whitened,fashion_mnist,2000,abs,whitened,tikhonov,"{""alpha"": 0.01}",accuracy,0.8826666666666667,0.8644,0.24996628900044016
NEFLayer-class_contrast,fashion_mnist,2000,abs,class_contrast,tikhonov,"{""alpha"": 0.01}",accuracy,0.8270833333333333,0.817,0.23747719099992537
NEFLayer-local_pca,fashion_mnist,2000,abs,local_pca,tikhonov,"{""alpha"": 0.01}",accuracy,0.8521166666666666,0.8367,0.26043960400056676
NEFLayer-ddgain,fashion_mnist,2000,abs,hypersphere,tikhonov,"{""alpha"": 0.01}",accuracy,0.8807333333333334,0.8577,0.23089801399964927
NEFLayer-whitened-ddgain,fashion_mnist,2000,abs,whitened,tikhonov,"{""alpha"": 0.01}",accuracy,0.8837666666666667,0.866,0.2677734099997906
NEFLayer-class_contrast-ddgain,fashion_mnist,2000,abs,class_contrast,tikhonov,"{""alpha"": 0.01}",accuracy,0.8240833333333333,0.8135,0.22832800000014686
NEFLayer,cifar10,2000,abs,hypersphere,tikhonov,"{""alpha"": 0.01}",accuracy,0.53748,0.4809,0.31908945299983316
NEFLayer-whitened,cifar10,2000,abs,whitened,tikhonov,"{""alpha"": 0.01}",accuracy,0.54276,0.4938,0.33193237599971326
NEFLayer-class_contrast,cifar10,2000,abs,class_contrast,tikhonov,"{""alpha"": 0.01}",accuracy,0.4188,0.4159,0.3117191669998647
NEFLayer-local_pca,cifar10,2000,abs,local_pca,tikhonov,"{""alpha"": 0.01}",accuracy,0.44118,0.4319,0.3544919679998202
NEFLayer-ddgain,cifar10,2000,abs,hypersphere,tikhonov,"{""alpha"": 0.01}",accuracy,0.53938,0.4795,0.3257031490002191
NEFLayer-whitened-ddgain,cifar10,2000,abs,whitened,tikhonov,"{""alpha"": 0.01}",accuracy,0.54566,0.4972,0.3335566089999702
NEFLayer-class_contrast-ddgain,cifar10,2000,abs,class_contrast,tikhonov,"{""alpha"": 0.01}",accuracy,0.41402,0.4096,0.33300154700009443
NEFNet-greedy,mnist,3000,abs,hypersphere,tikhonov,"{""alpha"": 0.01}",accuracy,0.9571666666666667,0.952,0.3138576979999925
NEFNet-target_prop,mnist,3000,abs,hypersphere,tikhonov,"{""alpha"": 0.01}",accuracy,0.99935,0.9859,30.36500274700029
NEFNet-hybrid,mnist,3000,abs,hypersphere,tikhonov,"{""alpha"": 0.01}",accuracy,0.99795,0.9844,31.679391835000388
NEFNet-target_prop_e2e,mnist,3000,abs,hypersphere,tikhonov,"{""alpha"": 0.01}",accuracy,1.0,0.985,47.646700432000216
NEFNet-hybrid_e2e,mnist,3000,abs,hypersphere,tikhonov,"{""alpha"": 0.01}",accuracy,1.0,0.9866,46.61746590199982
NEFNet-greedy,mnist,3000,abs,whitened,tikhonov,"{""alpha"": 0.01}",accuracy,0.9624333333333334,0.9572,0.30316872900039016
NEFNet-target_prop,mnist,3000,abs,whitened,tikhonov,"{""alpha"": 0.01}",accuracy,0.9992166666666666,0.986,32.32259572299972
NEFNet-hybrid,mnist,3000,abs,whitened,tikhonov,"{""alpha"": 0.01}",accuracy,0.9986333333333334,0.9858,30.595045180999477
NEFNet-target_prop_e2e,mnist,3000,abs,whitened,tikhonov,"{""alpha"": 0.01}",accuracy,1.0,0.986,49.25052547700034
NEFNet-hybrid_e2e,mnist,3000,abs,whitened,tikhonov,"{""alpha"": 0.01}",accuracy,1.0,0.987,46.83295303200066
NEFNet-greedy,mnist,3000,abs,class_contrast,tikhonov,"{""alpha"": 0.01}",accuracy,0.92525,0.9295,0.296808449999844
NEFNet-target_prop,mnist,3000,abs,class_contrast,tikhonov,"{""alpha"": 0.01}",accuracy,0.977,0.9749,32.088023739000164
NEFNet-hybrid,mnist,3000,abs,class_contrast,tikhonov,"{""alpha"": 0.01}",accuracy,0.9788666666666667,0.9748,30.33878466099941
NEFNet-target_prop_e2e,mnist,3000,abs,class_contrast,tikhonov,"{""alpha"": 0.01}",accuracy,0.9999833333333333,0.983,48.26572301400029
NEFNet-hybrid_e2e,mnist,3000,abs,class_contrast,tikhonov,"{""alpha"": 0.01}",accuracy,1.0,0.9829,46.233648593
NEFNet-greedy,fashion_mnist,3000,abs,hypersphere,tikhonov,"{""alpha"": 0.01}",accuracy,0.87495,0.8525,0.2966915359993436
NEFNet-target_prop,fashion_mnist,3000,abs,hypersphere,tikhonov,"{""alpha"": 0.01}",accuracy,0.9657666666666667,0.9001,32.4620548110006
NEFNet-hybrid,fashion_mnist,3000,abs,hypersphere,tikhonov,"{""alpha"": 0.01}",accuracy,0.9674166666666667,0.9014,30.738917706999928
NEFNet-target_prop_e2e,fashion_mnist,3000,abs,hypersphere,tikhonov,"{""alpha"": 0.01}",accuracy,0.9896,0.9047,48.255107263000355
NEFNet-hybrid_e2e,fashion_mnist,3000,abs,hypersphere,tikhonov,"{""alpha"": 0.01}",accuracy,0.9912666666666666,0.9038,46.591114651999305
NEFNet-greedy,fashion_mnist,3000,abs,whitened,tikhonov,"{""alpha"": 0.01}",accuracy,0.8802333333333333,0.8594,0.3143920389993582
NEFNet-target_prop,fashion_mnist,3000,abs,whitened,tikhonov,"{""alpha"": 0.01}",accuracy,0.9734333333333334,0.9001,32.812529230999644
NEFNet-hybrid,fashion_mnist,3000,abs,whitened,tikhonov,"{""alpha"": 0.01}",accuracy,0.9819333333333333,0.901,30.691224449999936
NEFNet-target_prop_e2e,fashion_mnist,3000,abs,whitened,tikhonov,"{""alpha"": 0.01}",accuracy,0.9964833333333334,0.9086,48.98460797300049
NEFNet-hybrid_e2e,fashion_mnist,3000,abs,whitened,tikhonov,"{""alpha"": 0.01}",accuracy,0.9979333333333333,0.9076,47.63456724699972
NEFNet-greedy,fashion_mnist,3000,abs,class_contrast,tikhonov,"{""alpha"": 0.01}",accuracy,0.83715,0.8238,0.30070607499965263
NEFNet-target_prop,fashion_mnist,3000,abs,class_contrast,tikhonov,"{""alpha"": 0.01}",accuracy,0.8976,0.8736,32.3345915660002
NEFNet-hybrid,fashion_mnist,3000,abs,class_contrast,tikhonov,"{""alpha"": 0.01}",accuracy,0.9021833333333333,0.8797,30.891203131999646
NEFNet-target_prop_e2e,fashion_mnist,3000,abs,class_contrast,tikhonov,"{""alpha"": 0.01}",accuracy,0.9590333333333333,0.8997,48.464829022999766
NEFNet-hybrid_e2e,fashion_mnist,3000,abs,class_contrast,tikhonov,"{""alpha"": 0.01}",accuracy,0.96045,0.8993,47.058309777999966
NEFNet-greedy,cifar10,3000,abs,hypersphere,tikhonov,"{""alpha"": 0.01}",accuracy,0.51668,0.4535,0.30337692700049956
NEFNet-target_prop,cifar10,3000,abs,hypersphere,tikhonov,"{""alpha"": 0.01}",accuracy,0.56874,0.5072,33.50610400000005
NEFNet-hybrid,cifar10,3000,abs,hypersphere,tikhonov,"{""alpha"": 0.01}",accuracy,0.52246,0.4967,35.829372907000106
NEFNet-target_prop_e2e,cifar10,3000,abs,hypersphere,tikhonov,"{""alpha"": 0.01}",accuracy,0.80482,0.5776,49.53343527299967
NEFNet-hybrid_e2e,cifar10,3000,abs,hypersphere,tikhonov,"{""alpha"": 0.01}",accuracy,0.77852,0.5829,51.61494086099992
NEFNet-greedy,cifar10,3000,abs,whitened,tikhonov,"{""alpha"": 0.01}",accuracy,0.5271,0.4681,0.31979362899983244
NEFNet-target_prop,cifar10,3000,abs,whitened,tikhonov,"{""alpha"": 0.01}",accuracy,0.7426,0.5523,33.74823812100021
NEFNet-hybrid,cifar10,3000,abs,whitened,tikhonov,"{""alpha"": 0.01}",accuracy,0.8281,0.5653,36.937785735000034
NEFNet-target_prop_e2e,cifar10,3000,abs,whitened,tikhonov,"{""alpha"": 0.01}",accuracy,0.93326,0.5965,49.577039711
NEFNet-hybrid_e2e,cifar10,3000,abs,whitened,tikhonov,"{""alpha"": 0.01}",accuracy,0.93352,0.5929,52.03874606199952
NEFNet-greedy,cifar10,3000,abs,class_contrast,tikhonov,"{""alpha"": 0.01}",accuracy,0.44244,0.4396,0.2950558310003544
NEFNet-target_prop,cifar10,3000,abs,class_contrast,tikhonov,"{""alpha"": 0.01}",accuracy,0.60632,0.5218,33.42510455699994
NEFNet-hybrid,cifar10,3000,abs,class_contrast,tikhonov,"{""alpha"": 0.01}",accuracy,0.62096,0.5278,36.26891704599984
NEFNet-target_prop_e2e,cifar10,3000,abs,class_contrast,tikhonov,"{""alpha"": 0.01}",accuracy,0.72754,0.5636,49.70760356699975
NEFNet-hybrid_e2e,cifar10,3000,abs,class_contrast,tikhonov,"{""alpha"": 0.01}",accuracy,0.77104,0.5549,51.87612591400011
